ano,macroetapa,quintil,prom,rep,evas,eja,n
2021,EM,Q4,0.719328676408729,0.1917799082637861,0.06507031763899035,0.0,996
2022,EM,Q4,0.6757094570336959,0.26468555020215634,0.04700192468502975,0.0,1227
2023,EM,Q4,0.6510536733103232,0.28453633145284996,0.05229597427317798,0.0003824358763385372,1136
2012,EM,Q5,0.6347721410971668,0.18441161868426326,0.07035246164861741,0.0027802600899695133,2841
2013,EM,Q5,0.6149630956679621,0.21343264495810405,0.058623193005251796,0.004656122629319265,2702
2014,EM,Q5,0.6350067762113613,0.2083206939604048,0.07265976269009967,0.0020179646524514728,2768
2015,EM,Q5,0.6568559406371113,0.17652501456290878,0.13663705079914243,0.0005126360576337105,1918
2016,EM,Q5,0.7668727874360797,0.14359845750572392,0.06620801200598068,0.0032943143374968864,1651
2017,EM,Q5,0.7894461197929307,0.12418076777975408,0.054554989014458856,0.006532566856947308,1502
2018,EM,Q5,0.8047991525934156,0.1202950345700935,0.04613000527995559,0.0013409718578196363,1430
2019,EM,Q5,0.7903072345518957,0.13885148628021152,0.037887889661653434,0.0,1153
2020,EM,Q5,0.692515112785473,0.26558566965881386,0.03157936175430816,0.0004867942724878987,802
2021,EM,Q5,0.7475356588614394,0.19113721127223762,0.04838523864960975,0.0005309693497254825,1013
2022,EM,Q5,0.6955929566116953,0.26785557797442444,0.025926128975337463,0.0,1133
2023,EM,Q5,0.6456906215545791,0.3065121789755899,0.03408280637930478,0.0,1194
