ano,idade,categoria,valor,ef,em,sup,n
2025,26,sexo,Homem,0.8864266651476883,0.7372888230095634,0.19793582038294585,11973
2025,27,sexo,Homem,0.8831936188644056,0.7328340767354322,0.20259395197997843,12641
2025,28,sexo,Homem,0.8797944931373788,0.7363673132775852,0.2177175876593137,12674
2025,29,sexo,Homem,0.8743606465059833,0.7232721497621736,0.21859347523804692,12355
2015,14,sexo,Mulher,0.20802724247092433,0.0,0.0,19844
2015,15,sexo,Mulher,0.5891834887670855,0.0,0.0,20867
2015,16,sexo,Mulher,0.7776837614165782,0.02322410099872215,0.0,19700
2015,17,sexo,Mulher,0.8351994503649427,0.19840111060762708,0.0,19367
2015,18,sexo,Mulher,0.8690149999534654,0.48404006348011913,0.0009036293984717316,19297
2015,19,sexo,Mulher,0.8714706123583056,0.5979964699633943,0.0034955918013852543,18680
2015,20,sexo,Mulher,0.88120795916332,0.6709166249709283,0.006732399200365854,18680
2015,21,sexo,Mulher,0.8804674073599221,0.6828930051535895,0.03142041685630243,17368
2015,22,sexo,Mulher,0.8766689274180539,0.6882463236700512,0.06385228716299118,16943
2015,23,sexo,Mulher,0.8749126106633638,0.6974409493651785,0.10476595871855204,16466
2015,24,sexo,Mulher,0.8683722168802215,0.6907540470332125,0.15094933646293943,16109
2015,25,sexo,Mulher,0.8654291206966714,0.7068135763564186,0.16857813864209129,16641
2015,26,sexo,Mulher,0.8629178764658088,0.6972686466626383,0.18649886522045794,17192
2015,27,sexo,Mulher,0.8531715640714946,0.6906521962107575,0.20089435104435935,17310
2015,28,sexo,Mulher,0.8448236837566339,0.6815438646221202,0.198137716688393,17307
2015,29,sexo,Mulher,0.8432016349107642,0.693078994579542,0.2020212066346441,17679
2017,14,sexo,Mulher,0.18522833555589568,0.0,0.0,17597
2017,15,sexo,Mulher,0.6014755333314256,0.0,0.0,18493
2017,16,sexo,Mulher,0.7936918281840412,0.015933498728308616,0.0,19130
2017,17,sexo,Mulher,0.847338330588584,0.18715797338688664,0.0,19526
2017,18,sexo,Mulher,0.8912805488400801,0.5187628820764246,0.0017095457718957572,18551
2017,19,sexo,Mulher,0.88552645280351,0.6348054031888133,0.0037191067322918645,17947
2017,20,sexo,Mulher,0.8963907843779497,0.6873058889107062,0.011503649059900874,18180
2017,21,sexo,Mulher,0.891919408517164,0.6966041300627376,0.028265902854044418,17518
2017,22,sexo,Mulher,0.8896816066429738,0.7179345949827726,0.06956979899925836,17677
2017,23,sexo,Mulher,0.8850198221662394,0.7078190875431273,0.11475599646703666,16972
2017,24,sexo,Mulher,0.8832254548894036,0.717076852918663,0.1541642578416193,16302
2017,25,sexo,Mulher,0.876763158325562,0.7206461710924926,0.18159289729838415,16614
2017,26,sexo,Mulher,0.8702620687974859,0.7220514488840126,0.20914594441342313,16241
2017,27,sexo,Mulher,0.8713770437588548,0.7161432225565606,0.21385352485550557,16281
2017,28,sexo,Mulher,0.8637367393913701,0.7109572104483778,0.2138095256001642,17371
2017,29,sexo,Mulher,0.8555980675308633,0.7025754085721888,0.23236986151725086,16678
2019,14,sexo,Mulher,0.15044974713178472,0.0,0.0,16736
2019,15,sexo,Mulher,0.6118145629328919,0.0,0.0,16681
2019,16,sexo,Mulher,0.8129132626442213,0.01306439577846098,0.0,16645
2019,17,sexo,Mulher,0.8793095763612416,0.17546353471219617,0.0,16838
2019,18,sexo,Mulher,0.9081806087505133,0.5263945838656184,0.0009399766572875045,17172
2019,19,sexo,Mulher,0.9173891743200051,0.679336970234775,0.0036552901513754923,17224
2019,20,sexo,Mulher,0.9126054801164099,0.7312452129360508,0.012121848979181601,16563
2019,21,sexo,Mulher,0.9104975044689089,0.7345920037834253,0.030818005571551236,15968
2019,22,sexo,Mulher,0.912090721348913,0.7404645305800003,0.0786003836613383,16539
2019,23,sexo,Mulher,0.9018497069778701,0.7484455596621294,0.13761773443899544,16358
2019,24,sexo,Mulher,0.9038338342889951,0.7454691632024825,0.18123195483197158,16007
2019,25,sexo,Mulher,0.8920969394455094,0.73848831909972,0.1977282446276188,15760
2019,26,sexo,Mulher,0.8903809960890071,0.736194232502611,0.21177893034470185,15566
2019,27,sexo,Mulher,0.8915458019993567,0.7531232834178196,0.2379952522113529,15420
2019,28,sexo,Mulher,0.8855553671014385,0.7341362364953351,0.25058092147270367,15322
2019,29,sexo,Mulher,0.886947021479815,0.7368876756664917,0.2480637951148489,15400
2021,14,sexo,Mulher,0.10221771484112899,0.0,0.0,11419
2021,15,sexo,Mulher,0.5504763886093788,0.0,0.0,11779
2021,16,sexo,Mulher,0.8239933790743997,0.007277741177552111,0.0,11758
2021,17,sexo,Mulher,0.895976122718386,0.11020025618427538,0.0,11407
2021,18,sexo,Mulher,0.9243181683435714,0.5049345270447176,0.006600376050683119,11627
2021,19,sexo,Mulher,0.9233429479862074,0.6711255188966189,0.008114825413041519,11161
2021,20,sexo,Mulher,0.9238511752555048,0.752048795826087,0.0147960626067551,11294
2021,21,sexo,Mulher,0.9231931641694417,0.7720228978242352,0.028561943560326427,11701
2021,22,sexo,Mulher,0.9231091141829265,0.7775589497556451,0.07302130272626563,10942
2021,23,sexo,Mulher,0.9159356104487901,0.7796782619313015,0.13803347253996645,10896
2021,24,sexo,Mulher,0.9163057170684821,0.7891053583739095,0.19745959223743578,10837
2021,25,sexo,Mulher,0.9108372843309733,0.7521642875939513,0.20627524369939285,11038
2021,26,sexo,Mulher,0.8985548741673298,0.7513647957944531,0.22950391672155177,10724
2021,27,sexo,Mulher,0.9074675323591789,0.7656517062569399,0.2567873901567508,10568
